"Code";"CodeStr";"CityId";"Name";"Province"
"1";"00-001";"16239";"Warszawa";""
"2";"00-002";"16239";"Warszawa";"Mazowieckie"
"3";"00-003";"16239";"Warszawa";"Mazowieckie"
"4";"00-004";"16239";"Warszawa";"Mazowieckie"
"5";"00-005";"16239";"Warszawa";"Mazowieckie"
"6";"00-006";"16239";"Warszawa";"Mazowieckie"
"7";"00-007";"16239";"Warszawa";"Mazowieckie"
"8";"00-008";"16239";"Warszawa";"Mazowieckie"
"9";"00-009";"16239";"Warszawa";"Mazowieckie"
"10";"00-010";"16239";"Warszawa";"Mazowieckie"
"11";"00-011";"16239";"Warszawa";"Mazowieckie"
"12";"00-012";"16239";"Warszawa";"Mazowieckie"
"13";"00-013";"16239";"Warszawa";"Mazowieckie"
"14";"00-014";"16239";"Warszawa";"Mazowieckie"
"15";"00-015";"16239";"Warszawa";"Mazowieckie"
"16";"00-016";"16239";"Warszawa";"Mazowieckie"
"17";"00-017";"16239";"Warszawa";"Mazowieckie"
"18";"00-018";"16239";"Warszawa";"Mazowieckie"
"19";"00-019";"16239";"Warszawa";"Mazowieckie"
"20";"00-020";"16239";"Warszawa";"Mazowieckie"
"21";"00-021";"16239";"Warszawa";"Mazowieckie"
"22";"00-022";"16239";"Warszawa";"Mazowieckie"
"23";"00-023";"16239";"Warszawa";"Mazowieckie"
"24";"00-024";"16239";"Warszawa";"Mazowieckie"
"25";"00-025";"16239";"Warszawa";"Mazowieckie"
"26";"00-026";"16239";"Warszawa";"Mazowieckie"
"27";"00-027";"16239";"Warszawa";"Mazowieckie"
"28";"00-028";"16239";"Warszawa";"Mazowieckie"
"29";"00-029";"16239";"Warszawa";"Mazowieckie"
"30";"00-030";"16239";"Warszawa";"Mazowieckie"
"31";"00-031";"16239";"Warszawa";"Mazowieckie"
"32";"00-032";"16239";"Warszawa";"Mazowieckie"
"33";"00-033";"16239";"Warszawa";"Mazowieckie"
"34";"00-034";"16239";"Warszawa";"Mazowieckie"
"35";"00-035";"16239";"Warszawa";"Mazowieckie"
"36";"00-036";"16239";"Warszawa";"Mazowieckie"
"37";"00-037";"16239";"Warszawa";"Mazowieckie"
"38";"00-038";"16239";"Warszawa";"Mazowieckie"
"39";"00-039";"16239";"Warszawa";"Mazowieckie"
"40";"00-040";"16239";"Warszawa";"Mazowieckie"
"41";"00-041";"16239";"Warszawa";"Mazowieckie"
"42";"00-042";"16239";"Warszawa";"Mazowieckie"
"43";"00-043";"16239";"Warszawa";"Mazowieckie"
"44";"00-044";"16239";"Warszawa";"Mazowieckie"
"46";"00-046";"16239";"Warszawa";"Mazowieckie"
"47";"00-047";"16239";"Warszawa";"Mazowieckie"
"48";"00-048";"16239";"Warszawa";"Mazowieckie"
"49";"00-049";"16239";"Warszawa";"Mazowieckie"
"50";"00-050";"16239";"Warszawa";"Mazowieckie"
"51";"00-051";"16239";"Warszawa";"Mazowieckie"
"52";"00-052";"16239";"Warszawa";"Mazowieckie"
"54";"00-054";"16239";"Warszawa";"Mazowieckie"
"55";"00-055";"16239";"Warszawa";"Mazowieckie"
"56";"00-056";"16239";"Warszawa";"Mazowieckie"
"57";"00-057";"16239";"Warszawa";"Mazowieckie"
"58";"00-058";"16239";"Warszawa";"Mazowieckie"
"59";"00-059";"16239";"Warszawa";"Mazowieckie"
"60";"00-060";"16239";"Warszawa";"Mazowieckie"
"61";"00-061";"16239";"Warszawa";"Mazowieckie"
"62";"00-062";"16239";"Warszawa";"Mazowieckie"
"63";"00-063";"16239";"Warszawa";"Mazowieckie"
"64";"00-064";"16239";"Warszawa";"Mazowieckie"
"65";"00-065";"16239";"Warszawa";"Mazowieckie"
"66";"00-066";"16239";"Warszawa";"Mazowieckie"
"67";"00-067";"16239";"Warszawa";"Mazowieckie"
"68";"00-068";"16239";"Warszawa";"Mazowieckie"
"70";"00-070";"16239";"Warszawa";"Mazowieckie"
"71";"00-071";"16239";"Warszawa";"Mazowieckie"
"72";"00-072";"16239";"Warszawa";"Mazowieckie"
"73";"00-073";"16239";"Warszawa";"Mazowieckie"
"74";"00-074";"16239";"Warszawa";"Mazowieckie"
"75";"00-075";"16239";"Warszawa";"Mazowieckie"
"76";"00-076";"16239";"Warszawa";"Mazowieckie"
"77";"00-077";"16239";"Warszawa";"Mazowieckie"
"78";"00-078";"16239";"Warszawa";"Mazowieckie"
"79";"00-079";"16239";"Warszawa";"Mazowieckie"
"80";"00-080";"16239";"Warszawa";"Mazowieckie"
"82";"00-082";"16239";"Warszawa";"Mazowieckie"
"83";"00-083";"16239";"Warszawa";"Mazowieckie"
"84";"00-084";"16239";"Warszawa";"Mazowieckie"
"85";"00-085";"16239";"Warszawa";"Mazowieckie"
"86";"00-086";"16239";"Warszawa";"Mazowieckie"
